"","Keratinocytes","Clara.cells","Epithelial","Airway.Multiciliated.Cells","Brush.cells","Undefined"
"Mrpl15",0.424651709,0.361188732,0.298446363,0.319837587,0.356036866,0.580555556
"Lypla1",0.446477955,0.194039437,0.177879162,0.217795824,0.198617512,0.463888889
"Tcea1",0.172825463,0.070202817,0.09377312,0.120951276,0.141152074,0.25
"Atp6v1h",0.258460736,0.270619718,0.196646116,0.384547564,0.422764977,0.314126984
"Rb1cc1",0.145037829,0.162850704,0.097163995,0.237587007,0.151705069,0.136349206
"4732440D04Rik",0.020138273,0.01428169,0.005462392,0.020185615,0.014792627,0
"St18",0.000813984,0.001025352,0.000937115,0.003410673,0.273225806,0
"Pcmtd1",0.147380642,0.17491831,0.094944513,0.130185615,0.164147465,0.148412698
"Rrs1",0.258398122,0.152152113,0.129963009,0.175429234,0.235852535,0.342539683
"Adhfe1",0.005896165,0.001374648,0.009038224,0.138422274,0.109078341,0
"Vcpip1",0.054122098,0.068416901,0.059679408,0.072575406,0.050552995,0.064126984
"Sgk3",0.106926689,0.067092958,0.034229346,0.033085847,0.104470046,0.158888889
"Mcmdc2",0.007357161,0.014585915,0.006078915,0.013155452,0.010599078,0.030634921
"Snhg6",0.150913123,0.160219718,0.10782984,0.096658933,0.322258065,0.101746032
"Ppp1r42",0.001682755,0.000884507,0.002404439,0.159837587,0,0
"Cops5",0.599642578,0.421216901,0.42458693,0.938051044,0.505760369,0.772222222
"Cspp1",0.107221498,0.108208451,0.086868064,0.703990719,0.129631336,0.189365079
"Arfgef1",0.129569528,0.211070423,0.134217016,0.322645012,0.30562212,0.137619048
"A830018L16Rik",0.000341769,0,0,0.135823666,0,0
"Sulf1",0.038442473,0.009228169,0.012367448,0.002993039,0.100368664,0.031111111
"Ncoa2",0.058416384,0.073369014,0.054340321,0.087076566,0.089907834,0.030793651
"Tram1",0.449311244,0.566028169,0.451196054,0.48099768,0.826912442,0.523888889
"Lactb2",0.076929298,0.098957746,0.073168927,0.109141531,0.169447005,0.040555556
"Eya1",0.057605009,0.060247887,0.054438964,0.04774942,0.125576037,0.085
"Kcnb2",0.010028698,0.004169014,0.005437731,0.003596288,0.108571429,0.019920635
"Terf1",0.31397078,0.185256338,0.186325524,0.165197216,0.128940092,0.957142857
"4930444P10Rik",0.001724498,0.002321127,0.003070284,0.795522042,0,0
"Rpl7",1.109441691,0.685442254,0.507053021,0.516983759,0.953640553,1.008253968
"Rdh10",0.235820506,0.559746479,0.649432799,0.261577726,0.074101382,0.197142857
"Stau2",0.073334203,0.067780282,0.06649815,0.089419954,0.234930876,0.05952381
"Ube2w",0.294051657,0.180197183,0.144389642,0.146960557,0.375668203,0.162380952
"Tmem70",0.422561962,0.225504225,0.26567201,0.32424594,0.366497696,0.472063492
"Ly96",0.013869032,0.041797183,0.016078915,0.020765661,0.021751152,0.013333333
"Jph1",0.008025046,0.011515493,0.004167694,0.005011601,0.027327189,0
"Mcm3",0.030691364,0.014659155,0.010986436,0.006589327,0,0.27515873
"Paqr8",0.031207931,0.071121127,0.01837238,0.002018561,0.011658986,0.008412698
"Efhc1",0.010756588,0.006219718,0.005819975,0.937308585,0.008801843,0.028968254
"Tmem14a",0.120258283,0.079701408,0.072688039,0.22512761,0.27,0.092777778
"Gsta3",3.159011218,3.11211831,3.084710234,2.63575406,0.636589862,3.031031746
"Gm29107",0.053310723,0.02684507,0.05701603,0.054663573,0.036543779,0.024206349
"Ogfrl1",0.12096791,0.094788732,0.102355117,0.079698376,0.558709677,0.183730159
"B3gat2",0.003065484,0.001447887,0,0,0.145529954,0.009444444
"Smap1",0.347693712,0.400777465,0.279827374,0.327726218,0.548847926,0.463650794
"Sdhaf4",0.28113749,0.366247887,0.230234279,0.653897912,0.700414747,0.290555556
"Fam135a",0.028040699,0.029943662,0.015561036,0.032227378,0.083456221,0.031428571
"Lmbrd1",0.34273676,0.284157746,0.285215783,0.457192575,0.254884793,0.303888889
"Phf3",0.243412471,0.221138028,0.1551418,0.399976798,0.22281106,0.177698413
"Ptp4a1",0.147114532,0.236112676,0.133119605,0.068607889,0.068940092,0.149285714
"Prim2",0.03455257,0.019538028,0.016140567,0.04675174,0.018571429,0.181507937
"Rab23",0.042332377,0.027802817,0.032268804,0.469280742,0.076912442,0.044365079
"Bag2",0.184549961,0.235667606,0.229136868,0.659303944,0.200046083,0.117301587
"Zfp451",0.065100444,0.063504225,0.041294698,0.051276102,0.137327189,0.085634921
