"","amacrine.cell","microglial.cell","Muller.cell","retinal.bipolar.neuron.type.A","retinal.bipolar.neuron.type.B","retinal.bipolar.neuron.type.C","retinal.bipolar.neuron.type.D","retinal.cone.cell","retinal.ganglion.cell","retinal.rod.cell.type.A","retinal.rod.cell.type.B","retinal.rod.cell.type.C"
"TSPAN6",0.036390075,0,0.711564121,0.014028772,0.02667938,0.032508936,0.01979436,0.005376927,0.142952866,0.003606522,0.006399331,0
"DPM1",0.495403584,0.5694265,0.794004908,0.800011335,0.505099706,0.627351985,0.587631565,0.555443217,0.423873928,0.681699643,0.508245907,0.381261074
"SCYL3",0.285969682,0.199955487,0.149374041,0.147303794,0.116219074,0.121359262,0.128367301,0.18164457,0.114242925,0.13471877,0.173381366,0.188785936
"C1orf112",0.111860955,0.03727774,0.067964156,0.114903105,0.072916435,0.131938555,0.038681042,0.083965408,0,0.060208286,0.113171168,0.092142699
"FGR",0,0.430104462,0,0,0.006351351,0,0,0,0,0,0,0
"CFH",0.016235318,0,0.004859194,0.02189713,0.046660901,0.430626963,0.170277904,0,0,0.002621241,0.0012478,0
"FUCA2",0.123617237,0.529334992,0.138557946,0.114230077,0.01241332,0.048650843,0.01699525,0.033691781,0.110142821,0.002135125,0.001485883,0
"GCLC",0.218168696,0.148383869,0.172117417,0.183180281,0.172753428,0.168681797,0.072973031,0.140269958,0,0.015366771,0.028384644,0.044377487
"NFYA",0.06673377,0.027180349,0.051529753,0.102020256,0.036738842,0.022610564,0.038756469,0.030067911,0,0.034214354,0.043004758,0
"STPG1",0.345686622,0.064143569,0.147123313,0.233872098,0.290412447,0.310290045,0.298744802,0.760590506,0.7480946,0.420919005,0.458288484,0.434507641
"NIPAL3",0.572549395,0.127383917,0.325887938,0.329893218,0.432690773,0.63464846,0.527538365,1.222423459,0.107326965,0.276148241,0.283194819,0.317967775
"LAS1L",0.352207718,0.187795364,0.214604006,0.265518552,0.312215529,0.350323337,0.282744697,0.327938437,0.055202651,0.180139323,0.230867413,0.278810278
"ENPP4",0.414380487,0.219363533,0.532544649,0.170451592,0.171087559,0.189793904,0.194870644,0.197876617,0.104270682,0.089287683,0.073507756,0.022413341
"SEMA3F",0.019873481,0,0.067520395,0.151443422,0.161792938,0.086430077,0.193120805,0.083770431,0,0.050778723,0.032482637,0.073452605
"ANKIB1",0.555221748,0.122475931,0.322084062,0.327060936,0.364252741,0.277969719,0.134270087,0.277178799,0.118132595,0.118291788,0.167147327,0.066709732
"CYP51A1",0.143018512,0.021807417,0.043300209,0.026201118,0.069643442,0.047609763,0.057328745,0.087177657,0,0.027845262,0.020799351,0.049519773
"KRIT1",0.877011687,0.360276064,0.528090117,0.843716437,0.792182732,0.85978726,0.723725275,0.826835043,0.188862751,0.415461991,0.526879252,0.402844517
