"","cortical.interneuron","MGE.neuron","MGE.progenitor","telencephalic.progenitors"
"TSPAN6",0.18277438097405,1.10109440523845,3.05391515385021,3.15594475609916
"DPM1",1.33949167182985,1.1590122626378,1.25469206950881,1.47244064296995
"SCYL3",0.445213421616914,0.32796616336474,0.343243788589131,0.46659026827131
"C1orf112",0.15264726134966,0.110087724832388,0.731695855205709,0.805087723902294
"FUCA2",0.182575330981668,0.262044746142167,0.888274214484475,1.17744479408222
"GCLC",0.0486322953453604,0.0926160755065771,0.276154500516978,0.208496034145355
"NFYA",0.305517690361671,0.995945387734817,0,0.655789145401546
"STPG1",0.0827039885071089,0.051685067323538,0.223657185381109,0.238025537558964
"NIPAL3",0.545944165789856,1.32229739886064,0.293225942687555,0
"LAS1L",0.881876694143943,1.06314497956863,1.75396582213315,1.09627919963428
"ENPP4",0.746838621373446,0.108797412652236,0.0431608232584867,0.0420012772083282
"SEMA3F",0,0.0701094407301683,0,0
"CFTR",0.0204300543047347,0.0337420679055727,0,0
"ANKIB1",0.682220437335518,1.14739571855618,1.3665139106187,0.317322959857328
"CYP51A1",1.71565526189669,2.69670335833843,3.65736835653132,3.2596056706139
"KRIT1",0.989465280804994,0.771853097356283,0.270072221755981,0.634175178195749
"RAD52",0.7475512452283,0.810689027492817,0.884292643178593,1.03724396654538
"BAD",1.10232977203603,1.18658115772101,0.972149819135666,0.698841801711491
"LAP3",0.467487827224552,0.614377230405807,0.387982541864569,1.31190926688058
"CD99",0.136047640217925,0.670981210011702,2.17725707455115,3.03084963560104
"HS3ST1",0.105883152698571,0.0969858994850746,0,0.204999838556562
"AOC1",0,0,0.0144480128179897,0
"HECW1",0.500529129268988,0.803270376645602,0.0377737148241563,0.013929158449173
"MAD1L1",0.629361987113953,0.567949721446404,0.558006075295535,0.0120686218142509
"LASP1",1.78075639706738,1.85956205599583,1.22609391943975,2.31936550566128
"SNX11",0.515573517612691,0.980257567304831,0.732088739221746,0.719629114892866
"TMEM176A",0,0.113911252755385,0,0
"M6PR",0.833694562069931,1.68599681470257,2.03654373775829,2.03356905986688
"KLHL13",0.321715961087425,0.750912602131183,0.600357676094229,0.795138256890433
"ICA1",0.822250166310454,0.568200537791619,0.176463506438515,0
"DBNDD1",0.395792082233249,1.35428150800558,0.262564302845435,0.618450028555734
"ALS2",0.774224491051908,0.613024204969406,0.862507664344528,0.835749499499798
"CASP10",0.0752579361762641,0,0.0314655371687629,0.011780104466847
"CFLAR",1.19658765984031,1.19057540366283,1.36684001033956,0.806737529379981
"TFPI",1.00458407064654,0.890322292653414,1.26227990605614,0.81721706794841
"NDUFAF7",0.674365369778759,0.536742436771209,0.307467503981157,1.27538881770202
"RBM5",2.56150897156517,3.13918758642215,3.13780265504664,2.02956135783877
"MTMR7",0.824625188730798,1.33023517406904,0,0.224953808954784
"SLC7A2",0.00488980367498578,0,0,0.353617123195103
"ARF5",2.19844236913717,1.94459435343742,1.92130780220032,2.40333236115319
"SARM1",0.383241868806335,0.291519412627587,0.366138219833374,0.177862115204334
"POLDIP2",1.47361084200301,1.87145403142159,1.43724293735894,2.43834468296596
"PLXND1",0.0477226410271986,0.00665127084805415,0,0.0790270737239293
"AK2",0.963552853408849,0.991900210197155,1.5862436728044,2.28204003402165
"CD38",0.0207396146823775,0.0201714004461582,0.0218090144070712,0.056769637124879
"FKBP4",1.78062534810237,1.89911610117325,2.21486382050948,1.60723224708012
"KDM1A",0.650374671760595,1.01886576586045,0.685967402024703,1.10619955829212
"RBM6",2.37961712563938,3.46878639551309,2.99239429560575,2.82768526673317
"CAMKK1",0.177335901361591,0.145407066895412,0.128255734389479,0.189381855939116
"RECQL",0.722086766980729,0.29255590072045,1.26525772024285,1.24528525556837
"VPS50",0.839170125154954,0.770265409579644,0.901402324438095,0.0946664905973843
"HSPB6",0,0,0.022757196968252,0
"ARHGAP33",0.375058712543182,0.430444790766789,0.181069233200767,0.0749492794275284
"NDUFAB1",2.14279794130685,2.53987770355665,2.26218792525205,2.31177800468036
"ZMYND10",0.0730286170289202,0.015847333921836,0.279545147310604,0.0113089978694916
"ABCB5",0.0748430968455549,0.0523944846712626,0.0388272878798571,0.056317612528801
"ARX",1.65795267977805,2.16995497621023,0.451817534186623,0
"SLC25A13",0.123094056012496,0.254782105867679,1.05095087940043,1.52430827702795
"ST7",1.26159772867302,1.77824917091773,0.839630426331,0.220380893775395
"CDC27",0.851024824212182,0.976363672659947,1.28569481589577,1.10464451568467
"SLC4A1",0.0245566331553009,0.0255485813205059,0.0536758439107375,0.0503069311380386
"CALCR",0,0.0332697263130775,0,0
"HCCS",0.593591606841897,0.361023761905157,0.262090030041608,0.799033403396606
"DVL2",0.289287362739725,0.658485199396427,0.750105047767813,1.07895957146372
"UPF1",0.0512941389713647,0.100400035197918,0.26491472937844,0.12734779715538
"SKAP2",0.157490878172641,0.121617106290964,0.0804266387766058,0.0504923633166722
"SLC25A5",1.83685160611036,1.1982100881063,1.72122936221686,2.60675102472305
"MCUB",0.560888195937535,0.131405368447304,0.756724877790971,1.39046847607408
"POLR2J",1.31043298064538,1.50536611905465,1.96301950107921,1.85372161013739
"DHX33",0.373240017384853,0.550956808603727,0.802971644835039,0.534313362623964
"THSD7A",0.279486723384767,0.407359593762801,0.204845937815579,0.249059617519379
"LIG3",0.692835721767174,0.907283927385624,1.5177343392914,1.74666444744383
"RPAP3",0.88343493865346,1.03561758078062,0.794413469054482,1.08912831970624
"ACSM3",0.0166566405656203,0.073719747364521,0,0.0454652458429337
"REXO5",0.0669179817415633,0.111206210576571,0.226319248026068,0.346076829092843
"CIAPIN1",1.80173192046723,1.68506230413914,1.32061569257216,2.20517122745514
"SPPL2B",0.583375189383075,0.610985576533354,0.572759644551711,0.761212067944663
"FAM214B",0.245720779558398,0.732066167088655,0.689628322016109,0.465784660407475
"COPZ2",0.0470240442258007,0,0,0
"PRKAR2B",0.634295178471871,0.738516943385968,0.11206608468836,0.0841634358678545
"MSL3",0.60028376106946,0.489110100727815,0.433771241794933,0
"CREBBP",1.20024775896432,1.29481345930925,0.976665258407593,0.847124035869326
"TSPOAP1",0.270390715239183,0.363168763426634,0.128418098796498,0.395112463406154
"MPO",0.00330990187402041,0,0,0
"PON1",0,0,0,0.0133517533540726
"GCFC2",0.10850697502775,0.316466015118819,0.977607423608953,0.255048827401229
"WDR54",1.08809804129151,1.90652284255395,2.26579603417353,2.28744399973324
"CROT",0.221456016009709,0.2794163697041,1.55031371116638,0.793853397880282
"KMT2E",3.63146511395023,3.1720983844537,2.77409482544119,2.75473006921155
"RHBDD2",1.39184035613852,2.02806429622265,1.9732345234264,1.48638259832348
"SOX8",0.079927421965689,0.0927674953754132,0.799562245607376,0.587021853242602
"IBTK",1.15791718127593,0.565244567508881,1.12798149206422,0.766540731702532
"ZNF195",2.03996277305315,2.077511963936,1.0899998952042,0.864821600062507
"MYCBP2",1.79937527820749,0.850469199510721,1.00052702968771,1.33945940967117
"FBXL3",0.114113732047801,0.265630816037838,0.703910925171592,0.209283181599208
"ITGAL",0.146892487159315,0.0851280465722084,0.022757196968252,0.0754349018846239
"PDK2",0.607029809985521,0.443438063447292,0.826539451425726,1.13712996137994
"ITGA3",0.15375218779411,0.13684563510693,0.107294860211286,0.113902014281069
"ZFX",0.471924158480932,0.30292683495925,0.83516153422269,1.18132720461914
"LAMP2",1.30441303916697,1.1295647122539,2.48737399144606,2.28831166880471
"ITGA2B",0.0112140206795818,0.0659291514983544,0.0144480128179897,0.342456580272743
"ASB4",0.0101758798338332,0.00605894969059871,0,0
"GDE1",1.11981934196544,1.08548630315524,0.831359213048762,1.31221831270627
"C19orf60",0.931461286994646,1.44164520043593,1.28850427269936,0.950430222920009
"CRLF1",0.0991434244052419,0,0,0.0626386702060699
"OSBPL7",0.202569428479896,0.0920939720593966,0,0.408745391028268
"TMEM98",0.530623195587464,0.904113608484085,2.32306010885672,2.7423409989902
"YBX2",0.0213287360263321,0.053611913552651,0.0541075522249395,0
"MAP3K14",0.207646411263718,0.0931474858751664,0,0.450057687503951
"ABCC8",0.039785273794858,0,0,0.0204809116465705
"CACNG3",0.147654265446483,0,0,0
"TMEM132A",0.884857297787127,0.839945468191917,0.515159426765008,0.754412336008889
"AP2B1",2.429575657226,1.79923128279356,1.98581366376443,1.82476623462779
"TAC1",0.244274674721484,0.397146856555572,0,0
"ZNF263",0.3173001163973,0.077062843224177,0,0.0925502095903669
"CX3CL1",0.559136681961563,0.333310923897303,1.27049403028055,0.313694271658148
"SPATA20",0.0837722738396447,0.339530321267935,0.517681277611039,1.10123724596841
"CACNA1G",0.165510362330473,0.152773004311782,0,0.0770442230360849
"TNFRSF12A",0.0623676484485842,0,0.133320808410645,0
"DLX6",2.10548669971385,1.86247845968375,0.0194012725895101,0
"MAP3K9",0.575798018501615,0.382389985024929,0.322538369081237,0.112134359776974
"RALA",1.32203070313301,1.19602175171559,0.976161241531372,1.82314685199942
"KDM7A",0.35361921084377,0.493717409097231,0,0.100488781929016
