"","CD16..natural.killer.cell","CD16..natural.killer.cell.1","conventional.dendritic.cell","granulocyte","monocyte","plasma.cell","plasmacytoid.dendritic.cell","T.cell"
"TSPAN6",0,0.00427582489927405,0,0,0.00723136190471959,0,0.0071406673355356,0.0163252556511696
"DPM1",0.521949120001359,0.484377543598654,0.971722923792325,0.984596654501828,0.528642336757996,0.662042626738548,0.971118952744823,0.484484830464687
"SCYL3",0.285667328401045,0.0735376319142495,0,0.0662346319718794,0.0975044954680511,0.343109855651855,0.0899254816315103,0.083188464113627
"C1orf112",0.0288555882193825,0.0219086234312036,0,0.0355998472733931,0.0600213022630342,0.00735536456108093,0.0489618378224167,0.0203148719118662
"FGR",1.36416470029137,1.78747577898473,1.67258025132693,0.271180333874442,2.52960955820061,0.260763440132141,2.56436218336175,0.172072459641313
"CFH",0.028016489202326,0.0174987712036066,0,0.109023413874886,0.00341573447473088,0.00979142904281616,0.0265095360651365,0.0469036578925448
"FUCA2",0.222571439092809,0.17406871211958,1.39807537885813,0.306415487419475,0.573596158049776,0.142117616534233,0.794892432681746,0.0713329644418772
"GCLC",0.0971883632920005,0.0877061075887463,1.09092859121469,0.271419979225505,0.149601658646303,0.198792691230774,0.425873874033804,0.063467135581601
"NFYA",0.0990571899847551,0.111154273535555,0.138709682684678,0.143062204664404,0.100334585404451,0.230099789500237,0.135848057230446,0.0683536884258821
"STPG1",0.026720328764482,0.0119125837792727,0.137549510368934,0.0345697684721513,0.0121904907536341,0.0390305650234222,0.0227942007324624,0.0282874803709774
"NIPAL3",0.251356110789559,0.163154492388746,0.444420997913067,0.421474986726587,0.080292830334462,0.255821970105171,0.209201162439644,0.343178604666112
"LAS1L",0.179359017718922,0.151451472934776,0.143134979101328,0.325152414495295,0.122884765301946,0.279624449014664,0.395781956241772,0.218080484934251
"ENPP4",0.0714027719064192,0.161384496681836,0.256698507529039,0.144244333830747,0.0217615540232293,0.0914528143405914,0.136076049155175,0.0331881581815736
"ANKIB1",0.249966133724559,0.189869900471493,0,0.260943132097071,0.186462291432091,0.449699441194534,0.290787244555958,0.171445951492098
