"","CD16..natural.killer.cell","CD16..natural.killer.cell.1","granulocyte","monocyte","plasma.cell","plasmacytoid.dendritic.cell","T.cell"
"TSPAN6",0.055951333604753,0.0576415378996666,0.0813628164204684,0.0245082895763172,0,0.00828620791435242,0.0654545311589499
"TNMD",0,0,0,0,0,0,0.0027520962663599
"DPM1",0.334054335951805,0.338320366562681,0,0.465437348677505,0.653721318642298,0.608146444747322,0.257183055458842
"SCYL3",0.202731060795486,0.21833751176266,0.137915047732267,0.0830239946057337,0.417942267656326,0.104044407606125,0.193980828875273
"C1orf112",0.125800414942205,0.152204506574793,0.4719617664814,0.0551292133164702,0.0552062392234802,0.0936345050209447,0.0924608087821587
"FGR",2.1430852971971,1.95252496828424,0,4.28482251091403,0.340516823530197,3.32249420410708,0.525056591972306
"CFH",0,0,0.311991799961437,0.00317049442981341,0.0522208333015442,0,0.0601280223276164
"FUCA2",0.360528168268502,0.10874471639065,0,1.18832629835754,0.340525587399801,1.01072909173213,0.121226558048983
"GCLC",0.16348869446665,0.158988670465794,0.480366267941215,0.127979325211566,0.207420567671458,0.247466500652464,0.177665366131712
"NFYA",0.261934105306864,0.0821968786259915,0.270895047621294,0.49669442228649,0.535440170764923,0.297675578217757,0.259341943787562
"STPG1",0.0641223965212703,0.106485237783574,0.599810031327334,0.0494299422463645,0,0.0375802948286659,0.115967239882495
"NIPAL3",0.544189780950546,0.601115810110214,0.413768161426891,0.20892898696735,1.47837407191594,0.567384831215206,0.839051364160873
"LAS1L",0.365055169910192,0.339429972019601,0.5443613095717,0.402480136348594,0.181257772445679,0.849324093053215,0.363728031999356
"ENPP4",0.109993949532509,0.323994259885017,0,0.0796409579722778,0.181380558013916,0.172120290367227,0.24185726640595
"SEMA3F",0,0,0,0.00345457248065783,0,0,0
"CFTR",0,0,0,0,0,0,0.00326844957229253
"ANKIB1",0.964038230478764,0.351335851753012,0.0415212159807032,0.22557309927037,0.466166019439697,0.178599659549563,0.34554685829459
"CYP51A1",0.467954637482762,0.591706172899997,0.780275930057872,0.526210977146344,1.66583687067032,0.776040823836076,0.311899271345622
"KRIT1",0.37063005194068,0.208531358457626,0.285185098648071,0.180864683959795,0.0630394597848256,0.159153762616609,0.227195862902177
"RAD52",0.404026055708528,0.113067721432828,0.138082477179441,0.348096478614748,0.650093126296997,0.654516094609311,0.315608760674258
"MYH16",0,0.0108117651432119,0,0.003522629323213,0,0,0.00257770282191199
"BAD",0.199211247265339,0.207887646999765,0,0.347491721559015,0.177292474110921,0.219918109868702,0.190958749039753
"LAP3",1.10273144394159,0.554963978047067,0.270895047621294,2.21112223043575,1.83603096008301,2.72129332234985,0.371556767015844
"CD99",1.28773905523121,2.42257354456059,0.328927343541926,1.45114461253889,2.13311323722204,1.453474885539,1.91475735137591
"HS3ST1",0.022191459313035,0.0272573809674446,0,0.010909859067905,0.887358504533768,0,0.0244981705739691
"AOC1",0,0,0.0446735674684698,0.0119412620060192,0.0219106475512187,0.0758896124990363,0.00584551547024701
"WNT16",0,0,0,0,0,0,0.00228569024317973
"HECW1",0.0261647831648588,0.0489935374006312,0.176959609443491,0.0401891529189874,0.315950453281403,0.0387795881221169,0.0628213035093771
"MAD1L1",0.377175368368626,0.512846772658064,0.165737693960016,0.520972314921225,0.527201290925344,0.863525159264866,0.447634424792754
"LASP1",1.20654491707683,1.64353953175088,0.593784370205619,2.15110926681794,1.22286816835403,2.3255723840312,0.936799499070322
"SNX11",0.0494426572695374,0.373080191301539,0.439112224362113,0.673561109704261,0,0.606473955668901,0.29826946649197
"TMEM176A",0,0,0,1.58351399976274,0,0.166379113730631,0.0020318865776062
"M6PR",1.60318760760128,1.57109387504294,1.84146185354753,2.39474919975174,1.81842149098714,2.66412891996534,1.37458246515409
"KLHL13",0.0142254568636417,0,0,0.0031291997025472,0.236491791407267,0.0610600396206504,0.019633795643175
"CYP26B1",0,0,0,0,0,0,0.00333105744542302
"ICA1",0,0.0702458746889804,0.297162316062234,0.0349934908173839,0,0.164806290676719,0.0405029884061298
"DBNDD1",0,0.0187826283434604,0,0,0.187257925669352,0,0.0303914562673182
"ALS2",0.265791166573763,0.234348296168003,0,0.0810305625200272,0,0.154733744106795,0.091934368739257
"CASP10",0.533080864697695,0.871841830459047,0.444896744056181,0.764065224006309,0.323032887776693,0.598205339261576,0.363215539866203
"CFLAR",3.06027910113335,2.94809706731046,3.53851027922197,2.89737903590528,2.86370979944865,2.3632120307731,2.75384235204877
"TFPI",0.689297201577574,0.751155910022715,0.945528639988466,0.458486521697563,1.51428434054057,0.457902444036383,0.713006595300662
"NDUFAF7",0.228019926697016,0.1272553845923,0.280523446473208,0.346566088219977,0.040013599395752,0.246114642212265,0.249825670288221
"RBM5",1.72922539710999,1.10138375423056,0.875558094544844,1.55115412564381,1.41280811429024,1.57488800820551,1.35234645270818
"MTMR7",0,0.0654105708954182,0,0.0473064015740934,0.173261499404907,0,0.0239581239787308
"SLC7A2",0,0,0,0.0105753018989326,0,0,0.00134383971626694
"ARF5",0.761454010382295,1.05944307814253,1.34771800041199,2.24529776069688,1.86460999647776,2.7543901644255,0.955117775177633
"SARM1",0.201412722468376,0.113141122967639,0.18431282043457,0.143537405855167,0.184703683853149,0.0121668514452483,0.126001741716991
"POLDIP2",0.642363354563713,0.303311434514979,0,0.571289801819724,0.9174187819163,0.84986382409146,0.483188383603418
"PLXND1",0.0604711063206196,0.228994131088257,0,0.639814820533954,0,0.366588652918213,0.232328711047366
"AK2",0.997300744056702,0.486027724248298,0.642514591867274,1.39935223637901,1.35453684329987,1.91219968858518,0.472196848851603
"CD38",1.00732761714607,1.30531775412407,0.150133029981093,0.271352451873122,0.743903541564941,0.919506779626796,0.110216296041334
"FKBP4",0.409221932291985,0.098535454653679,0,0.370451775119171,0,0.317119913665872,0.256621627509594
"KDM1A",0.137901946902275,0.0783950115772004,0.814906553788619,0.135897790423091,0.080171145995458,0.222956107635247,0.149658340900331
"RBM6",2.2917309217155,1.74851335902163,0.653886326334693,2.08844075708286,2.88328374226888,2.28812661218016,1.71522138559738
"CAMKK1",0.371228654868901,0.244150785214089,0.320053666830063,0.194401125637641,0.276745468378067,0.077706568335232,0.249107669797298
"RECQL",1.02012499794364,0.627913884342985,0,0.373095580139516,0.312295031547546,0.608685266814734,0.506543825526495
"VPS50",0.103369366377592,0.207984531179388,0.0420374870300293,0.312589626736152,0.235382159550985,0.21778910567886,0.197297334268286
"HSPB6",0,0,0,0.00343873819209034,0,0,0
"ARHGAP33",0.170118257403374,0.0540342489455609,0.21709301254966,0.0799357913295675,0.184225225448608,0,0.137621354492935
"NDUFAB1",0.304586920887232,0.4997141564146,0.18431282043457,0.922074818277951,0.697219737370809,0.76425633069716,0.419566540299235
"PDK4",0,0,0,1.0003168867982,0,0.525996407395915,0.00867303678312817
"SLC22A16",0,0.0179156470806041,0.260130275379528,0.0990594447769734,0,0.0765284425333927,0.00134581609352215
