"","Neuron.Type.2","Undefined","Glutamatergic.neuron","Neuron.Type.1","Oligodendrocytes","Astrocytes.Type.1","GABA.ergic.neurons","Oligodendrocyte.progenitor.cells","Microglia","Endothelial.cells","Astrocyte.Type.2","Neuron.Type.3"
"A2M",0.00626662,0.006436655,0.01326054,0.013424624,0.018261106,0.015098487,0.01066149,0.015720146,0.237496527,1.088179645,0.012805686,0.004819574
"AASDH",0.055226616,0.040964384,0.029284289,0.051422363,0.030599729,0.077965301,0.064548656,0.075101805,0.08251574,0.024105577,0.059622695,0.00451419
"AASS",0.004497162,0.034310911,0.015691536,0.000879808,0.098711785,0.129813411,0.008216796,0.074527269,0.014150183,0.050894086,0.069578313,0
"AATK",0.080126339,0.018332931,0.069106775,0.054935573,0.399586651,0.073472974,0.112990693,0.057545096,0.044633632,0.017946017,0.022097034,0.09451354
"ABCA1",0.005885737,0.006192349,0.00466431,0.001638158,0.019546781,0.121980563,0.025851588,0.050389645,0.018269018,0.079000836,0.04463061,0
"ABCA2",0.102125506,0.029215872,0.124505664,0.177600662,0.733954757,0.141580193,0.104580872,0.124452902,0.037461679,0.076793664,0.105452396,0.057513089
"ABCA8",0.003801776,0.018364021,0.005241603,0.010511918,0.296051611,0.040160869,0.005239644,0.027302967,0.014962549,0.051228431,0,0
"ABCB1",0.005492198,0,0.018298452,0.011424247,0.001163175,0.006543969,0.004511976,0.013011413,0.004753722,0.600572843,0.005153663,0
"ABCD3",0.030467983,0.009709074,0.030567031,0.032653915,0.053100379,0.059673238,0.055158173,0.072475589,0.020648244,0.056807103,0.039285591,0.005142307
"ABCD4",0.090330832,0.084319241,0.058623457,0.100956571,0.070995377,0.073287463,0.105677313,0.068546809,0.071133687,0.065284764,0.049251307,0.012193726
"ABCF1",0.077702127,0.156238878,0.071937413,0.030654699,0.07308175,0.075899668,0.074223475,0.054167778,0.019336049,0.102652436,0.085205996,0.054369426
"ABCG1",0.009869477,0,0.006629195,0.005497329,0.047138663,0.007238429,0.013274167,0.035774795,0.005282438,0.05700779,0,0
"ABHD17B",0.022163391,0.013888769,0.030162224,0.024672965,0.092965226,0.025583285,0.024627416,0.037103309,0.005117555,0.007649525,0.040240676,0.039730075
"ABHD2",0.103489785,0.027760086,0.138984842,0.119551688,0.034961728,0.093587203,0.107832428,0.547503703,0.05180785,0.1021672,0.069292926,0.081775556
"ABI1",0.067527368,0.012923903,0.170154728,0.167612117,0.026831247,0.215999615,0.128249436,0.119584894,0.069867775,0.089457814,0.059856051,0.063551537
"ABLIM1",0.166231746,0.021416663,0.077518043,0.171709888,0.012106342,0.318385967,0.218387609,0.051999369,0.028782725,0.310545075,0.186518596,0.089826844
"ACACB",0.00841725,0.020700955,0.015422182,0.013663466,0.04261859,0.272132938,0.017074221,0.063068195,0.014281306,0.068171361,0.094445295,0.006840883
"ACAD10",0.044707354,0.021357381,0.035544485,0.039136425,0.027771608,0.050538877,0.04388797,0.066952412,0.077527795,0.014923323,0.028448468,0.011698286
"ACADVL",0.192585751,0.078301644,0.244814758,0.227604221,0.075737617,0.308515996,0.127578024,0.095136253,0.061967806,0.142141505,0.317375941,0.033249952
"ACAP2",0.213338609,0.069717294,0.188270494,0.299304124,0.100965552,0.193243631,0.160420702,0.114336365,0.213685499,0.208819002,0.110319304,0.032275288
"ACER3",0.044232522,0.008363018,0.040821286,0.03228399,0.174318177,0.045448982,0.049441077,0.13709179,0.063808571,0.052517051,0,0.032024144
"ACIN1",0.173828242,0.221468674,0.18022249,0.174982234,0.157605687,0.201953849,0.190286751,0.138660265,0.19758117,0.181837332,0.11622567,0.040082501
"ACOT11",0.140364659,0,0.043975899,0.055511672,0.013329974,0.562819816,0.038958322,0.09189907,0.044396166,0.036203827,0.35238646,0.012898674
"ACSBG1",0.004037014,0,0.006933302,0.011543023,0.032102132,0.208552168,0.009891892,0.0174452,0.020031663,0.005282541,0.028021869,0
"ACSL1",0.013806566,0,0.029364961,0.018427345,0.086429753,0.009273784,0.025123122,0.00632419,0.082681215,0.014957449,0.004069128,0.015918558
"ACSL3",0.180612881,0.024917729,0.102690345,0.091202833,0.104936981,0.149387741,0.219216826,0.237444263,0.078050236,0.116454634,0.113933433,0.222021275
"ACSL6",0.199509808,0.004764055,0.215059524,0.258553197,0.026238049,0.466176805,0.332753669,0.180410973,0.045222483,0.0499958,0.053903989,0.227941174
"ACSS1",0.005825,0.031574687,0.024128256,0.009296844,0.05013041,0.364266771,0.010808832,0.051048668,0.039285174,0.027406246,0.106885461,0.007373876
"ACSS2",0.022849201,0.023748971,0.011306777,0.02159735,0.071729501,0.021610482,0.020581169,0,0.012549533,0.029428535,0.003700412,0.013438487
"ACTB",0.108921802,0.224168209,0.388720016,0.202934811,0.271647906,0.207390336,0.147861298,0.445371195,0.339671542,0.610109057,0.586871992,0.389579404
"ACTG1",0.126884008,0.481819894,0.213519627,0.118463627,0.145199146,0.229112264,0.201115399,0.33151176,0.07926351,0.483963239,0.736007192,0.428260219
"ACTN2",0.075633764,0,0.052143627,0.079771323,0.098699234,0.015319394,0.020983968,0.051827075,0.006197931,0.044105275,0.019253513,0.039909552
"ACTN4",0.163966603,0.078608872,0.048295734,0.056480091,0.163542091,0.048122433,0.072326845,0.106156865,0.024031891,0.467236032,0.246639403,0.107038021
"ACYP2",0.036565578,0.052010923,0.036856995,0.044065726,0.065983017,0.054343153,0.035808986,0.032380342,0.045767493,0.037989391,0.038002016,0.072313988
"ADAM10",0.049960989,0,0.050721069,0.061685948,0.076150203,0.046275805,0.050047764,0.036171868,0.095286155,0.105602615,0.064626557,0.053604924
"ADAM28",0.004019193,0.006695423,0.00814133,0.002693632,0.016896738,0.02214074,0.00774796,0.015863384,0.8288055,0.005418342,0,0.005698055
"ADAMTS1",0.010455075,0.120455035,0.011385063,0.024406945,0.031498713,0.020055934,0.013823169,0.009698035,0,0.250018227,0,0.004685821
