"","Undefined.Type.3","Oligodendrocyte.progenitor.cells","Endothelial.cells","Astrocyte.Type.3","Undefined.Type.1","Immature.neurons","Undefined.Type.2","Astrocyte.Type.2","Microglia","Oligodendrocyte","Astrocyte.Type.1","Oligodendrocytes"
"4930581F22Rik",0.00942121,0.019678761,0.036546489,0.254982606,0.014230751,0.019462028,0.017150067,0.117997384,0.017317527,0.037136195,0.053834789,0.135992252
"Abca1",0.013113157,0.031591125,0.063496614,0.043533996,0.009045015,0.00990289,0.03444232,0.160403713,0.019761784,0.022346012,0.057718315,0.057316555
"Abcb1a",0.008249612,0.005470277,0.978247959,0,0.005260419,0.007701312,0.101973807,0.034212037,0.008725055,0.008778875,0.011319126,0.022861162
"Abhd3",0.01931401,0.032844883,0.01617051,0.030903859,0.020587129,0.024173123,0.027500142,0.258060709,0.03698067,0.022758283,0.070225611,0.036912198
"Acsbg1",0.005403175,0.011531024,0.028752621,0.028723871,0.004871954,0.004133863,0.03169054,0.419329089,0.00609746,0.009208861,0.151064841,0.006984167
"Acsl3",0.137402874,0.173063398,0.227394493,0.257895211,0.154538193,0.143909174,0.143641195,1.310587516,0.172385624,0.178655093,0.518624701,0.203262461
"Adhfe1",0.002813253,0.006709323,0.014313495,0.12135582,0.001470876,0.001803006,0.01930031,0.18555653,0.000444795,0.002466523,0.054007315,0.005398507
"Aebp1",0.000925182,0.03723031,0.02341136,0.981985431,0.002212987,0.001080681,0.132816575,0.047807372,0.000939297,0.017037034,0.031725275,0.079079416
"Agpat5",0.059437805,0.142976092,0.067767212,0.076902514,0.055584436,0.071290109,0.064550186,0.320108187,0.068668698,0.071138675,0.135944632,0.024323159
"Ahnak",0.005925418,0.011325527,0.722812774,0.32029726,0.002675415,0.007946315,0.106908132,0.084763598,0.008436457,0.00647634,0.037922083,0.012068822
"Aldoc",0.044411328,0.07161897,0.153876342,0.369548631,0.039506716,0.041467559,0.138031407,0.933695797,0.067876193,0.048794293,0.356200752,0.06186154
"Anln",0.004129753,0.004129823,0.01207224,0,0.0060211,0.002424785,0.003765572,0.009530544,0.00653829,0.095800679,0.039268138,0.389984831
"Apoe",0.106177608,0.469743311,0.808408706,2.029801638,0.127105334,0.14865994,0.496021708,2.209930427,0.120611482,0.285988954,1.056138251,0.488644919
"Appl2",0.064071263,0.121702977,0.103094974,0.37831117,0.064852932,0.127689381,0.144638275,0.916696152,0.125645489,0.168821857,0.406044465,0.363223411
"Aqp4",0.0085463,0.029610926,0.066326884,0.278214443,0.006331006,0.01501527,0.042613063,0.91350421,0.019091227,0.00756104,0.204977119,0.013007812
"Arhgap23",0.039467019,0.038828076,0.075218002,0,0.03871248,0.022988425,0.041971229,0.040016943,0.024424174,0.132810023,0.055426285,0.405274647
"Arhgap5",0.146699819,0.13030015,0.217459549,0.891281712,0.124056554,0.124437329,0.172367568,0.490836982,0.219119812,0.164573818,0.259299357,0.183171784
