"","conventional.dendritic.cell.type.1.induced.day.9.dendritic.cell","conventional.dendritic.cell.type.2","human.embryonic.fibroblast","human.embryonic.fibroblast.induced.day.type.3.dendritic.cell","induced.day.9.dendritic.cell"
"TSPAN6",1.11771722527736,0.553497330138558,0.863419006105329,0.839287966600307,1.17201621278127
"DPM1",1.10467816062672,0.940204137249997,1.96187723347398,1.59438089483011,1.27512848631541
"SCYL3",0.10378728218114,0.0574279223617754,0.121081049325036,0.144609187530499,0.156487070719401
"C1orf112",0.0571221391876023,0.0883524339450033,0.220195122429582,0.0553160250850013,0.0532474594116211
"FGR",0.235144652771817,0.0162656840525175,0,0.00295450985063286,0.0131537443796794
"CFH",0.214278963036794,0.133536075290881,0.277392657858426,0.342634140340006,0.812245344638824
"FUCA2",1.53572411373506,1.42582919174119,1.65177264487157,1.34162867990206,1.76344723860423
"GCLC",0.777124686785222,0.343970118384612,0.102392385435886,0.134109678315586,0.220189254601796
"NFYA",0.182334110776657,0.17542051327856,0.246419471990867,0.19312519697088,0.186064835548401
"STPG1",0.106335235327648,0.105288146357787,0.424968281925702,0.232888878718,0.114260434627533
"NIPAL3",0.334584784198117,0.533551765899909,0.50111860154105,0.61539355889239,0.33257311185201
"LAS1L",0.397283037761589,0.498914676277261,0.793403300300973,0.412026325910731,0.352502542495728
"ENPP4",0.0799477098160639,0,0.00537852185671447,0,0.0264308004379272
"SEMA3F",0.0257956362389899,0.041645790401258,0.0581171907362391,0.0603809540881804,0.0667307103474935
"CFTR",0.00338658308938616,0,0,0,0.00761318111419678
"ANKIB1",0.801372219326324,1.06375328255327,0.806133093990263,0.882147718787341,0.753970049381256
"CYP51A1",0.0607122928180588,0.0918820029810855,0.0939586475247242,0.109001825265448,0.121340752919515
"KRIT1",0.519048484667776,0.549303144216537,0.884057941006832,0.818700394760104,0.487778698285421
"RAD52",0.0529028300009322,0.0584755398725208,0.0994851878431977,0.0918799654220326,0.083252579053243
"MYH16",0.00508347557294347,0,0.00439044491189425,0.00198677045895231,0
"BAD",1.06668472312156,1.69980180185092,2.11402194617225,2.17714884821947,1.74079069932302
"LAP3",3.42329273263687,2.5438965025701,1.52736324482277,1.09875269224971,3.05422154426575
"CD99",0.00482852295289898,0,0,0,0
"HS3ST1",0.0663647275687591,0.0558788870510302,0.00976168640324327,0.0375126659207055,0.0336232069333394
"AOC1",0.00259084869625396,0,0,0,0
"WNT16",2.09621379957128,1.47839019486779,0.434300692355046,0.335271573847687,1.11062300046285
"HECW1",0,0,0,0.00133403535236976,0
"MAD1L1",0.525808641662845,0.573237365013675,0.493441641721569,0.415520261848813,0.332473154226939
"LASP1",2.43525247859159,2.36575128373347,1.72279317339913,1.75128745413829,1.75368285401662
"SNX11",0.292658273165213,0.303948129478254,0.30368341969662,0.233656399697986,0.284522739569346
"M6PR",1.72765486492518,1.09657349084553,0.948548953845853,0.726491406467848,1.11706766208013
"KLHL13",0.00577580331650205,0,0.0237427703669814,0.0454556647278322,0.0257355569203695
"CYP26B1",0.0943961585828678,0,0,0.00572072442883467,0.0307372767130534
"ICA1",0.163327000247304,0.101344441896991,0.0348640672496108,0.0372693140810293,0.0304332688649495
"DBNDD1",0.0680033472783048,0.0709968036726901,0.17398850331541,0.117458768327098,0.016301633199056
"ALS2",0.113996969083245,0.224513409953368,0.260381066603739,0.221777313056187,0.19993540986379
"CASP10",0.0275062705236375,0.0649480600106089,0.00814580096573126,0.0124622713060697,0.151655543963114
"CFLAR",1.69715370152125,1.16506384862097,0.646078404051359,0.631874732682378,0.868584964593252
"TFPI",0.771847155297621,0.594514555836979,1.79395142461433,1.69555355908697,1.87003917821248
"NDUFAF7",0.26120259777292,0.115147526326932,0.393221794581804,0.392001264101201,0.321069948355357
"RBM5",0.664542107613056,0.823833258528458,0.798160223101006,0.863998365637988,0.711166832923889
"MTMR7",0,0,0.00514357402676442,0,0
"SLC7A2",0.00982773082818083,0.0203795542842463,0.0807299891456229,0.0626722888834544,0.0285887896219889
"ARF5",1.39076998680554,0.631240269855449,0.513160458158274,0.567528042053557,0.84184979724884
"SARM1",0.0166230389713578,0.0829849211793197,0.06700014481779,0.112885485178755,0.126271371046702
"POLDIP2",0.985029296552095,1.44762555392165,2.14426085558094,1.92089971579492,1.23975589561462
"PLXND1",0.104006381114471,0.405203513408962,0.463983290117295,0.62107277830098,0.524081096490224
"AK2",1.12612016612391,1.45238551262178,2.16583160103345,1.74992726258795,1.5849560842514
"CD38",1.77505915162736,0.574735552856797,0.0156286571846634,0.0196167536365382,0.962455562750498
"FKBP4",0.27660333490991,0.514906724032603,1.56603727418868,1.0249833178756,0.467840534845988
"KDM1A",0.355603597933817,0.521825675901614,1.34626664509539,0.985353522453968,0.558075301329295
"RBM6",0.750880050747647,0.99331039033438,1.13155518535708,1.16103841244659,0.832673896471659
"CAMKK1",0.0369368946397459,0,0.0716172914035985,0.0926676987864915,0.0699611574808757
"RECQL",1.15988024411263,1.17011732725721,1.34084245435527,0.932943515857159,0.992471242586772
"VPS50",0.178243823750342,0.129232290544008,0.155286117069057,0.110043863430896,0.148516155560811
"HSPB6",0.275833051589513,0.489766759307761,0.901209014751872,1.31888161542536,1.34954801464081
"ARHGAP33",0.00734152201155342,0.0444789199452651,0.0766336577837584,0.0363393207857724,0.0296215031941732
"NDUFAB1",2.15020228007287,2.91688869344561,3.3110759840637,3.13921319952117,2.40600818538666
"PDK4",0.261875499820886,0.0262294913593091,0,0.00118197896719274,0.047841713587443
"SLC22A16",0.0099599940878562,0,0,0.00207141126484158,0
"ZMYND10",0,0,0.06415331441848,0.0298535832663254,0.0155271943410238
"ABCB5",0,0,0,0.0021689744166597,0
"ARX",0.00877590325413918,0,0,0,0.012789306640625
"SLC25A13",0.545804037676229,0.373518354798618,0.409790464893716,0.256761183108034,0.237258015950521
"ST7",0.333426960655842,0.410556590086535,0.277629293965512,0.251166844102744,0.247830880324046
"CDC27",0.913735435601732,1.0412522875949,1.6979314491397,1.17271740040172,0.959740612665812
"SLC4A1",0,0.0325418647966887,0,0.00153189477578671,0.0133865178426107
"HCCS",1.1704579796331,0.929562680815396,1.19808864046316,0.95668907837461,0.759691313743591
"DVL2",0.280643249597532,0.290412232279778,0.61696854165343,0.606356618136204,0.533975650469462
"UPF1",0.22369215085909,0.531275448830504,0.383598673343658,0.255162318645803,0.16805598783493
"SKAP2",1.42355480298041,1.1853758316291,0.525273880020517,0.625738905814139,0.919793124834696
"SLC25A5",2.69661105630128,3.16892867339285,3.90999564225556,3.69323089007836,2.42090328280131
"MCUB",1.16812008740951,1.33638995728995,1.47802015015336,0.790457771720344,0.512695046742757
"HOXA11",0.172924209282438,0.298133014848358,0.551399577445671,0.503611151971687,0.504471527258555
"POLR2J",2.24840188446646,2.98358119632068,3.12485495629858,2.74633514409602,2.28978686332703
"DHX33",0.153807270725937,0.263099112008747,0.497984496882704,0.301776549798449,0.17267738310496
"MEOX1",0.0354106449461603,0,0,0,0.0120656661987305
"THSD7A",0.0147832946122688,0.0127098881884625,0,0.0288280902893198,0.0391762603123983
"LIG3",0.0743513888021126,0.149165536227979,0.300475338638806,0.272247850673897,0.1370474152565
"RPAP3",1.029903458421,0.712965859394324,0.717245070074425,0.566254947256246,0.52134147198995
"ACSM3",0.166315808256393,0.125434131998765,0.0189426410393637,0.00205893687471029,0.0165848598480225
"REXO5",0.0449392837584572,0.146638362031234,0.293939641069193,0.077684037028196,0.087540753364563
"CIAPIN1",0.434655382261648,0.462572554224416,1.20941443736436,0.926584056782339,0.604453630447388
"SPPL2B",0.163351332654758,0.10903736007841,0.305985737628624,0.32810602479871,0.286350367863973
"FAM214B",0.782351056919027,0.788806122384573,0.361513114366375,0.476753772778623,0.421696410179138
"COPZ2",0.579736002079852,1.78495229702247,1.4930260165793,1.89962870037305,1.39820027256012
"PRKAR2B",1.27391839325981,0.90937835605521,0.293125704468274,0.157078801406771,0.271425720214844
"MSL3",0.814028900054479,0.599269422261339,0.994413349472108,0.846728930661941,0.776805510520935
