"","acinar.cell","not.available","pancreatic.A.cell","pancreatic.D.cell","pancreatic.ductal.cell","type.B.pancreatic.cell"
"TSPAN6",0.788464661476747,0.484618219733238,0.234440766940159,0.180348880981144,1.52557900341657,0.0154441004550015
"DPM1",1.31164784251519,1.17714491307735,0.73726254475436,0.400472914702014,0.73892689209718,0.758915608679807
"SCYL3",0.291495945796652,0.191341863572597,0.115971708071551,0.141452830873038,0.225764851845228,0.0627921672514927
"C1orf112",0.208682048292655,0.0447955092787743,0.0630202665259796,0.0103717783564015,0.00945878303967989,0.0312825001684236
"FGR",0,0,0,0,0,0.00211084569677894
"CFH",0.00405437232188459,0.0648739576339722,0.00101055164954492,0,0.110589496905987,0
"FUCA2",1.76799018765396,1.11305995821953,1.29699612934408,0.179952235598313,1.26111254646228,0.825963786722701
"GCLC",0.460350917054797,0.306879346966743,0.260919726320675,0.128960385918617,0.238896675293262,0.22830489848131
"NFYA",0.249810759470148,0.278345584869385,0.145896058529615,0.323851008164255,0.362814334264168,0.0492688991405346
"STPG1",0.243977110622064,0.166124193668365,0.202969592663326,0.226042129491505,0.26882758805385,0.151856586705019
"NIPAL3",0.541012641112759,0.280535616278648,0.155375357118568,0.0350984240833082,0.465715529368474,0.159381921092669
"LAS1L",0.365746081015974,0.492224462330341,0.282738728448749,0.0772500351855629,0.442980411419502,0.187317102227682
"ENPP4",0.896326695129556,0.786610705852509,0.461283925654633,0.0397929204137702,0.576674423997219,0.764867188018045
"SEMA3F",0,0.0172671627998352,0.00832503182547433,0,0,0
"CFTR",0.0857145178992793,0.420417628288269,0.0211182796795453,0.0613719475896735,4.86467990966944,0
"ANKIB1",0.313566212524783,0.257982183694839,0.296868532829519,0.148001018323396,0.191889356649839,0.359876047681879
"CYP51A1",2.05664920096971,1.51594799637794,1.28740804170125,0.703033381386807,1.59611069284953,1.30752668189414
"KRIT1",0.383493217938351,0.733870021700859,0.387475350805159,0.774187964044119,0.432440468898186,0.491968305206593
"RAD52",0.0709845598013896,0.0478343361616135,0.0943486459021057,0.241054371783608,0.141351541189047,0.033051696088579
"MYH16",0.0280237625230033,0,0,0,0.035801179592426,0
"BAD",0.0949345021596495,0.321832828521729,0.567782838762339,0.344212340681176,0.827607300648322,0.315264246346038
"LAP3",0.50695497528562,0.508356628715992,0.24084738941331,0.138950134578504,1.00394483162807,0.375877017592206
"CD99",0.770997557156491,2.60198305249214,4.38270725522723,2.62935482122396,0.904738667836556,4.04256054942991
"HS3ST1",0.00167621264480195,0.0973597288131714,0.044117074127176,0.00927194247120305,0.172457177363909,0.0268818610980187
"AOC1",0,0.109410781860352,0.0700209869870118,0,0,0.0236142991501608
"WNT16",0,0,0,0.152546242663735,0,0.0337295208448245
"HECW1",0.0106153991424812,0.0071650356054306,0.033298938801246,0.0336039944698936,0.0187487959861755,0.032308813046526
"MAD1L1",0.0332075690604606,0,0.0639120796030121,0.0917136543675473,0.186675706276527,0.117619194734244
"LASP1",1.05239602375143,0.406851769089699,0.520591764710844,0.177806575831614,1.02182338329462,0.189730494478602
"SNX11",0.231672658110565,0.29337026655674,0.22348313978208,0.161883379283704,0.225068712234497,0.220170239975423
"TMEM176A",0.219930874851515,1.09567598938942,2.35254571666675,1.1318871284786,0.165810866539295,0.692852103047901
"M6PR",1.11768895162726,0.968321723937988,0.685247444880328,0.604046520433928,1.4065318777011,0.629385163018733
"KLHL13",0.224246540440703,0,0.0189866812101432,0,0.0320087125668159,0
"CYP26B1",0,0,0,0,0.00518008424685552,0
"ICA1",1.66845409094163,0.950222198963165,0.941500598830836,0.729148224780434,0.517870252407514,1.17740424400494
"DBNDD1",0.156179989424517,0.00856975734233856,0.120955222685422,0,0.0964546432861915,0.0431138904374323
"ALS2",0.260275687530356,0.340053619742394,0.441464518263404,0.381456312380339,0.35714938548895,0.803880600097739
"CASP10",0.29406564781126,0.0149167740345001,0.0460211367878531,0.0746446024430426,0.476581657849825,0.0642650007833669
"CFLAR",1.43007630819701,1.31908777967095,1.38286348705047,1.60554153825107,2.29403511010683,1.49493592609594
"TFPI",1.68044144308792,0.966015610098839,0.718004490348643,1.65564137069803,1.55734715392956,0.657578070406561
"NDUFAF7",0.304119530151475,0.369376096427441,0.334598140691274,0.230651972325225,0.370071947574615,0.160870763438719
"RBM5",1.02649578353706,1.09153059214354,1.29302446723783,1.39670643680974,1.00467569896808,1.14288073557395
"MTMR7",0.0663912515595274,0.315218905210495,0.705449606558042,0.281665529075422,0,0.442461340515702
"SLC7A2",1.28146142104887,1.40988052368164,2.0536723743592,1.2249108490191,0.273118547292856,0.908959383949821
"ARF5",0.724698516838955,1.05323639750481,1.59434747403221,1.6437951389112,1.61694275782659,1.89706757259958
"SARM1",0.216681707720712,0.322699564695358,0.19123436031597,0.227365954926139,0.123193937998552,0.201109610773899
"POLDIP2",0.742147984369746,0.71334059715271,0.51341176186023,0.34348726272583,1.36582650542259,0.577429583595123
"PLXND1",0.0303836741818572,0.110360320806503,0.107638892917229,0.0889411160820409,0,0.131637979804734
"AK2",0.986271894905927,1.03754146724939,1.0155073112276,0.600668762859545,1.19818897063916,0.880037150265258
"CD38",0.00355419010486243,0.0681764543056488,0.0277050168120435,0,0.0145912271279555,0.0114671047087069
"FKBP4",0.800806329778905,0.533865630626678,0.437059395214809,0.3783795049316,0.924541916297032,0.443183257991885
"KDM1A",0.577412230507383,0.647747168540955,0.48653129887368,0.139402904008564,0.502956157922745,0.381413398701468
"RBM6",0.943008030220023,0.651840917766094,1.03305061973099,0.796312276470034,1.00509476684607,0.969121440049307
"CAMKK1",0.0528187654771895,0.0999704125523567,0.197254768772317,0.163832658215573,0.0168595962799512,0.42310214355404
"RECQL",0.47931866755463,0.120057938098907,0.213295751716942,0.127731210307071,0.286273292394785,0.237602526758924
"VPS50",0.306958422767666,0.235276067256927,0.241089710367045,0.327840410565075,0.228021523127189,0.302199763832269
"HSPB6",0,0,0,0.0527454175447163,0,0.0684461497966154
"ARHGAP33",0.0115444443698199,0.0262816148996353,0.126032921352557,0.0742811780226858,0.0185036915999192,0.150863782675178
"NDUFAB1",0.616841304133523,1.61047491431236,1.4216489396058,1.43840696074461,1.35393879688703,1.56041218027656
"PDK4",2.05758799162676,0.945683105885982,1.67178260621482,0.396348855997387,0.373160157066125,0.896748009655211
"SLC22A16",0,0,0.012400791714234,0,0,0
"ZMYND10",0.00398911395162906,0.0391904002428055,0.0402741889203233,0.172818698381123,0.0161007878872064,0.0741467299284758
"ABCB5",0.00245524858528713,0.00333282202482224,0.0385959378576704,0.0428374699856106,0.0281979489784974,0.0202881044443743
"ARX",0,0.238308598995209,0.550968542695045,0,0,0.119408130645752
"SLC25A13",0.208925968774085,0.267888336777687,0.467352785702263,0.18873183350814,0.539884813932272,0.403187374273936
"ST7",1.17701256176773,0.965323825478554,1.01259330786499,0.179748707696011,0.382704268969022,0.607579983310935
"CDC27",0.926555609927987,0.722912248969078,0.934267198134746,1.06088626541589,0.414006219001917,1.01027422223562
"SLC4A1",0.00338837855829383,0,0.0195343552622944,0.0956817300696122,0.0104686017219837,0.0180467935623946
"HCCS",0.371068760752678,0.117495685219765,0.275534865446389,0.139446685188695,0.195324938343121,0.29230429140138
"DVL2",0.039781059296626,0.156009730696678,0.159738817252219,0,0.259952159111316,0.215800081138258
"PRSS22",0.159056813087104,0.0986561608314514,0.323852554695415,0.0714892148971558,0.464302598283841,0.0774533928912363
"UPF1",0.195565862475701,0.159662590026855,0.450596828279751,0.415770666379678,0.188014121926748,0.351644937270953
"SKAP2",0.21802711599278,0.307361083030701,0.205559209122189,0,0.0999698721445524,0.115175969806718
"SLC25A5",2.70449275945155,1.83412804305553,1.96460088701653,0.981254525090519,2.20945514623935,1.6531100951963
"MCUB",0.191417451174754,0.622004445493221,0.713679696100631,0.421670841543298,0.0748417120713454,0.940797774144161
"HOXA11",0,0,0.00183404489819493,0,0,0
"POLR2J",0.124158385367888,0.453569929897785,0.547637150822473,0.748566720046495,1.13633195574467,0.658939446196144
"DHX33",0.0696337255385687,0.235546300411224,0.0857855643012694,0,0.0239817114976736,0.0332707185068248
"MEOX1",0,0.0810963535308838,0,0,0,0
"THSD7A",0,0.0055026364326477,0.020243517522301,0.185830040981895,0.0824871576749362,0
"LIG3",0.509019767197798,0.347553436756134,0.421576852644128,0.283094284565825,0.300478807091713,0.319134144503393
"RPAP3",0.416356011943997,0.22786890566349,0.461733585023986,0.398677267526325,0.373327774726428,0.203882983805221
"ACSM3",0.336137733369503,0.104659849405289,0.0951062140853277,0.0213360308032287,1.12666494892194,0.0620517252404013
"REXO5",0.0411051388056773,0,0.101658604706505,0.0783599207275792,0.0304283692286565,0.0502891776002484
"CIAPIN1",0.516366949058929,0.392024841606617,0.357669697475753,0.164491540507266,0.606955561271081,0.442478897394957
"SPPL2B",0.16870672607197,0.20914138764143,0.367953625906791,0.407145538612416,0.43918219437966,0.476908128754592
"FAM214B",0.0511855826062976,0.0831763005256653,0.0470111999394638,0.208335575304533,0.0795996244137104,0.0894199433150115
"COPZ2",0.0124845802783966,0.0643849754333496,0.00101055164954492,0.0957949663463392,0.0620788867657001,0.0596645879156796
"PRKAR2B",0.029192715320947,0.191330616474152,0.050995620233672,0.081483897409941,0.278141169823133,0.120525774396496
"MSL3",0.430020264718892,0.351759578585625,0.120591982134751,0.0860669110950671,0.360232340372526,0.209483704081288
"CREBBP",0.516480530067435,0.514089180827141,0.683773687042828,0.85857339360212,0.672426185241112,0.278780724347374
"TSPOAP1",0.0221851558055518,0.0133818304538727,0.127960339920329,0.144574516697934,0.14194722542396,0.0730930108714987
"PON1",0.00650262326564429,0,0.00130012139145817,0.0551685471283762,0,0.0470643869520705
"GCFC2",0.465723565164602,0.269512569904327,0.417060608909066,0.456706366256664,0.350291599218662,0.411131089300285
"WDR54",0.0291774167485957,0.274310884475708,0.390084255420204,0.771360896135631,0.6177179478682,0.41686120942051
"CROT",0.0805692414067826,0.411527022719383,0.143986600118556,0,0.136787378100248,0.185628925576622
"ABCB4",0,0.136085314750671,0.0585271476634911,0,0,0.0409811937514647
"KMT2E",1.60667145181939,1.15615162849426,1.5803971745606,1.45825652935003,1.2703560849795,1.08207377055545
