"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell"
"TSPAN6",0.0129873623190992,0.00545001877956469,0.0145348025803855,0.0044743802630296
"DPM1",0.819295230449324,0.801015046641694,0.539127967229576,0.513066003230657
"SCYL3",0.124306277401465,0.126473778644692,0.138811929765076,0.144093702293708
"C1orf112",0.0206397807596271,0.0196990117469739,0.0115042166313487,0.0142491136902659
"FGR",0.00175698842776694,0.0312971194019839,0.00427987654650411,0.166035404820713
"CFH",0.00357176311163182,0.00603585036137451,0.020481823039634,0.0291732554219069
"FUCA2",0.0363160019516668,0.0507093593896618,0.0319414191404272,0.0473476737999379
"GCLC",0.139700448068784,0.192123204257684,0.0527358770044218,0.0919784422638126
"NFYA",0.0722332380830698,0.109819975295615,0.0673166847049558,0.0690418604267786
"STPG1",0.0455947881580339,0.033097891716509,0.0324620964018972,0.033416117908118
"NIPAL3",0.24733001639822,0.198890283151496,0.373613778467338,0.295774337944069
"LAS1L",0.217691877497686,0.190931261679243,0.169247598669279,0.154810799037559
"ENPP4",0.0442410198894151,0.0869965531414522,0.0352615308484271,0.123928445311346
"ANKIB1",0.140723774491017,0.189654275479276,0.107028149228939,0.143808102689658
"CYP51A1",0.0131427920065579,0.000938353222525999,0.00214456626906446,0.00464450398125053
"KRIT1",0.141244036789672,0.167853856747269,0.129312428839191,0.155572368061784
"RAD52",0.021462142071179,0.0132103621937371,0.0295909902554361,0.0351962648124447
"MYH16",0,0,0.000562248595397928,0
"BAD",0.387236838789061,0.445559606307546,0.229542886684743,0.309435367493194
"LAP3",0.69056702655564,0.647434710385156,0.345530541922758,0.385718264712683
"HS3ST1",0.00260715955041449,0.00350277279254338,0.00396813556750751,0.00505932891309694
"WNT16",0,0,0.000566548000979089,0
"HECW1",0,0,0.000558683450524627,0
"MAD1L1",0.21990391467811,0.210431262867498,0.480168924240311,0.453232068194374
"LASP1",0.471625088244442,0.5940687554644,0.352919298779504,0.559211313201071
"SNX11",0.184721790455732,0.202780875317035,0.0935392493138034,0.133561498293125
"TMEM176A",0.00265447559212171,0,0.000567685158906063,0.00132929527745897
"M6PR",0.522437974716129,0.622516808059947,0.382998867798374,0.453969649205275
"KLHL13",0.000601567292261367,0,0.000470462785042845,0
"CYP26B1",0,0,0.000580142550055719,0.0008774303488715
"ICA1",0.0310419323788335,0.00533183760876872,0.0422776292702371,0.0179900788041006
"DBNDD1",0.00922905379401968,0.00287225272315399,0.00283137862094249,0
"ALS2",0.0186616190438,0.0398455041484054,0.0189761094675054,0.0252346768548535
"CASP10",0.107427575239096,0.0599123318514008,0.135265960172966,0.073225726786348
"CFLAR",1.82031768636908,2.13924729087655,0.894063997342087,1.17939371997138
"TFPI",0,0,0.000509419263408399,0
"NDUFAF7",0.118247478145047,0.0952899264111049,0.117003292773139,0.117699720878645
"RBM5",0.461215464947525,0.442230888316355,0.481131309032277,0.556232919443559
"MTMR7",0.00137569304502082,0.00084299882312519,0,0
"SLC7A2",0.000795873070087613,0,0,0
"ARF5",0.303556942508415,0.327224511682474,0.200776012352465,0.26594685042528
"SARM1",0.0650896382180694,0.0811588786952463,0.0478315523867325,0.0568067322891602
"POLDIP2",0.566077141262601,0.557308289273675,0.21416334603447,0.28859181638982
"PLXND1",0.0142441364202504,0.0250144704188894,0.0226868335979669,0.114098703556272
"AK2",0.841742806794453,0.89004795094279,0.357594110441257,0.366096017605569
"CD38",0.195093617218806,0.262949037489397,0.0209025571169284,0.0681278671003926
"FKBP4",0.993769553781606,0.856149470167899,0.302615245523169,0.331555218130361
"KDM1A",0.237794735174708,0.254943995072305,0.172664343882537,0.174150757090469
"RBM6",0.646176243724236,0.679254568457737,0.64241070503492,0.657303624865025
"CAMKK1",0.0212336053652134,0.0137918022231456,0.00844765508823349,0.00749187962887805
"RECQL",0.166954321158583,0.220614450426862,0.192840848440509,0.257125597320562
"VPS50",0.0578910287499004,0.0482343929798493,0.0619162666932222,0.0565572460446935
"HSPB6",0,0,0.000509207476257992,0
"ARHGAP33",0.0112640835576362,0.0105766878731462,0.00964975870923967,0.0191052273149115
"NDUFAB1",1.61347128090726,1.70787667134691,0.778392806878614,0.876590988116212
"PDK4",0.000901958130234376,0,0.000593291868953072,0
"SLC22A16",0,0.000841181093456592,0,0
"ZMYND10",0.00266293327646534,0.00544570256422094,0.00614628125411617,0.0101502517017075
"ABCB5",0.00214898256313972,0.000863591993582557,0.00386233807752037,0.0013328102901265
"ARX",0,0.000634523957287136,0.000592777552035342,0
"SLC25A13",0.0595697149973076,0.0553957444815455,0.0362094740242816,0.0527258802343298
"ST7",0.0391581542012274,0.060544086502358,0.00691789015490349,0.0269507429626162
"CDC27",0.188832126243306,0.230625397835006,0.108253104818059,0.131511371706496
"SLC4A1",0.000913150789418065,0.000813446523365748,0.00160785819258218,0.0024940570650687
"HCCS",0.300548890080503,0.353229977092864,0.142118650472943,0.140772592297671
"DVL2",0.256003986098804,0.262427091910927,0.170152682781709,0.21269393549843
"PRSS22",0.0016942741293175,0.00292561291666434,0.000592623554677373,0.0013328102901265
