"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell","unassigned.activated.T.cell","unassigned.resting.T.cell"
"TSPAN6",0.0143430359037962,0.011647638009519,0.0145366300668239,0.0051182166389797,0,0
"DPM1",0.67440667666098,0.66117268935182,0.541040955257458,0.603427046426335,0.593175469300686,0.179057305509394
"SCYL3",0.117049881396983,0.119058293251423,0.124416522869876,0.106608986706467,0.042174831414834,0
"C1orf112",0.0141750943627317,0.0332035170717987,0.016495092706338,0.0195471873194535,0,0
"FGR",0.0214184638639426,0.0533889295207187,0.00776843185914952,0.200347624950527,0,0
"CFH",0.00513023751518179,0.0164662237198089,0.00290027233051102,0.0459517698110261,0,0
"FUCA2",0.0240208306310651,0.0396421206624884,0.0178061983043449,0.072565928453244,0,0
"GCLC",0.0636190038993447,0.112556722315246,0.0723714601375595,0.078846642097331,0.100515047709147,0.0797000852498141
"NFYA",0.0620047384899141,0.0285774012257282,0.0404119224320168,0.0229664624847981,0.051902697636531,0
"STPG1",0.0399385482538305,0.0201375976156856,0.0312641822610432,0.0289243088005492,0,0
"NIPAL3",0.219326817134785,0.190114050239293,0.287203316990654,0.230760801208686,0.197639312499609,0.0728375369852239
"LAS1L",0.177129749398161,0.156192375176959,0.131182375131691,0.0905669005020805,0.0529686181973188,0
"ENPP4",0.0285016486871037,0.106528720845469,0.0236355303450396,0.114348015874069,0,0
"SEMA3F",0.00119500404651231,0,0.00305237831348965,0.00326067912652626,0,0
"ANKIB1",0.160853009296504,0.12413742129964,0.104109961319984,0.138115852071632,0.104275247989557,0.0950233286077326
"CYP51A1",0.0111202249347471,0.00967763087419127,0.00423813996507258,0.00501269998017305,0,0
"KRIT1",0.152307227844709,0.124407369519407,0.146572248672668,0.156660209087111,0.0921479005080003,0.264978430487893
"RAD52",0.021453696248242,0.0236005194077046,0.0298451844918078,0.0147062043965973,0,0
"BAD",0.344821404637362,0.364573692020617,0.288667791228829,0.411214293900484,0.255201049340077,0.383106101642955
"LAP3",0.405224232898983,0.527481876561772,0.104752059420179,0.149753463934667,0.346095601717631,0.173389559442347
"HS3ST1",0.00381098502055616,0,0.00139208034334533,0.0084552634576833,0.0468251827435616,0
"AOC1",0.00214443647913996,0,0,0.00408188037990783,0,0
"HECW1",0,0.00353291032137599,0,0,0,0
"MAD1L1",0.218751959386328,0.109582626473891,0.34588146357606,0.222318856612496,0.042174831414834,0.457146357406269
"LASP1",0.320863106750134,0.45782879267036,0.31912323907777,0.424102334206149,0.0949137302545401,0.0766553391109813
"SNX11",0.0913528891912116,0.11535810912078,0.0413758519163795,0.0582153305503893,0.0546547999748817,0
"TMEM176A",0.00509487623016883,0.00384332823830184,0,0,0,0
"M6PR",0.283292303096785,0.356491022284126,0.275080280806778,0.274202711982016,0.100205439787645,0.159712189977819
"KLHL13",0.00120206465470968,0,0,0,0,0
"ICA1",0.0148559855039854,0.00981286798716872,0.0261893362189797,0.00914619131858305,0,0.0803148638118397
"DBNDD1",0.00799104181059752,0,0.0114077633336734,0,0,0
"ALS2",0.0143530977980156,0.0308616453287553,0.01591301915072,0.0228289124388132,0,0
"CASP10",0.144703944969712,0.0622488653365319,0.105629979586992,0.0322250484679797,0.0943225652743609,0.173471727154472
"CFLAR",0.859473997609922,1.32861359342212,0.426906757350511,0.865700740103396,0.682711757146395,0.545208020643754
"TFPI",0.00464713425458695,0.0105006804911842,0.0106923467140046,0.00903951958839938,0,0
"NDUFAF7",0.0822044809102344,0.0729822679697891,0.0845159716346278,0.128069175992693,0.0435737799375485,0
"RBM5",0.364280014884057,0.370807792907371,0.398299866774783,0.469530718667167,0.191942853805346,0.372031396085566
"MTMR7",0,0.00337115035789482,0.00175776458388681,0,0,0
"SLC7A2",0.00128284529967455,0,0,0,0,0
"ARF5",0.215735620911903,0.252227761179497,0.166790735631798,0.210108319276608,0,0.0870568643916737
"SARM1",0.0550614882336648,0.0371707686804291,0.0439414487880154,0.0247172642938839,0,0
"POLDIP2",0.394187157565611,0.374581592807708,0.156471023635628,0.175737159740851,0.369653035432864,0.157680376009508
"PLXND1",0.0136972037992527,0.0330930281146384,0.0244862631881031,0.220499309989977,0,0
"AK2",0.50249082473072,0.630762635701197,0.253774385088886,0.269630948653132,0.0466806154984694,0.253382135521282
"CD38",0.172683369507062,0.181180017463119,0.0346426688098358,0.00424698183995596,0.111409208713434,0
"FKBP4",0.613367121554777,0.523750711332458,0.230278109257655,0.137911121001155,0.334296813377967,0.0948652787642045
"KDM1A",0.177501757334937,0.144127580968445,0.148179555287866,0.11478044113017,0.13858542075524,0
"RBM6",0.470999573868754,0.508629615529651,0.526549721376844,0.539578724203643,0.303413794590877,0.547289642420682
"CAMKK1",0.0261660421854217,0.00933900683574082,0.0104532849223518,0.0102168604453898,0,0
"RECQL",0.227258541701458,0.239704845543195,0.285174501644704,0.345482291938355,0.0885651233868721,0.258106876503338
