"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell","unassigned.activated.T.cell","unassigned.resting.T.cell"
"TSPAN6",0.00697083504465693,0.00659939227391727,0.0107954254886182,0.00596303018901534,0,0
"TNMD",0,0,0.00102894417978736,0,0,0
"DPM1",0.908080657864242,0.908967507444634,0.533001892345468,0.535815279467273,0.504189885290045,0.47584317034523
"SCYL3",0.145473454014196,0.157765491224414,0.129295311617938,0.123831066175842,0.0846929499977513,0.0448952777273703
"C1orf112",0.0356967523731611,0.0285865233172124,0.0191926282229993,0.0193348118396149,0.0379134454225239,0
"FGR",0.00133779333867753,0.0140888552170503,0.00319989329364397,0.0381929520994613,0,0
"CFH",0.0044247355054739,0.00949075843021898,0.0220787893865526,0.0150429114910377,0,0
"FUCA2",0.0349070994588262,0.0689297657416294,0.0471363081105888,0.0520543583763332,0,0.0605242940403471
"GCLC",0.151474214898656,0.136868430541788,0.0818025006540677,0.107990436361439,0.0450061245968467,0.0587562938664584
"NFYA",0.0689557329068206,0.0960836431488919,0.0515074919417406,0.0494835316398554,0.0413413047790527,0.102496193559378
"STPG1",0.0480792958869876,0.032781490828324,0.0273332007509313,0.0304053429560189,0.0400779573540939,0
"NIPAL3",0.223348849058993,0.148530166552494,0.226934887857821,0.21139363094639,0.292817301499216,0.190858274498242
"LAS1L",0.234440691832996,0.234449122019948,0.147258307000589,0.140711145395254,0.246556299611142,0.0739527036679671
"ENPP4",0.0416559545427516,0.098234906917441,0.0352717248315941,0.0968712811442735,0.0461087327254446,0.0556830063762281
"CFTR",0,0,0,0.000786174237997498,0,0
"ANKIB1",0.197141236388437,0.197625163312334,0.144415014718591,0.199158571254205,0.226146685449701,0.181604265366625
"CYP51A1",0.00637334972935617,0.0060319188152326,0.00123046575926212,0.00572006786469416,0,0
"KRIT1",0.161784385408468,0.224601702075108,0.16665144572434,0.162991758282194,0.158878349003039,0.0762004036231329
"RAD52",0.0198733356945213,0.0293568233449255,0.0214835281264239,0.0173001359047104,0.121361544257716,0.028620511893458
