"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell","unassigned.activated.T.cell","unassigned.resting.T.cell"
"TSPAN6",0.00978614902934438,0,0.0120869516075283,0,0.00913262433292463,0.0331516716931317
"TNMD",0,0,0.000491715406906837,0,0,0
"DPM1",0.608836706158501,0.674841930875105,0.648770098314471,0.783749269463165,0.36797028301165,0.32121263967978
"SCYL3",0.126782312383965,0.0921928082700113,0.140490830427167,0.142909954165855,0.15845961187685,0.141899489067696
"C1orf112",0.0289427686763686,0.015880600892035,0.0199672810498742,0.0215463052716172,0,0
"FGR",0,0.00758877651398953,0.000518113955564942,0.041099482809591,0,0
"CFH",0.00120473668930378,0.0108678504880033,0.00986864237949766,0,0,0
"FUCA2",0.0379303653996503,0.0556596402341992,0.0418292740116949,0.0489239887884486,0,0
"GCLC",0.103911411615244,0.129991385130191,0.0858122765213653,0.11974597186373,0.0220438166008101,0.177070729367368
"NFYA",0.075548524134279,0.0753647146614954,0.0566189498915665,0.0208004413292422,0.012048936616681,0
"STPG1",0.0412269375886862,0.0566264918302515,0.0439415118862307,0.0450274560883728,0.021296375015766,0
"NIPAL3",0.179016274830589,0.109642932849303,0.305786344708353,0.246478024281954,0.164238245533444,0.253183598990913
"LAS1L",0.184591891759254,0.184564040496004,0.17875830619589,0.11760619857855,0.14168518798173,0.0988870848406543
"ENPP4",0.041331157664727,0.040280601792176,0.0284221208077678,0.0515645226539924,0.0204170186103546,0
"ANKIB1",0.138806895084492,0.175235662540095,0.13718453418726,0.18976444598527,0.153607654439445,0.101521416827365
"CYP51A1",0.0125629055661436,0.0104715225864963,0.00343575674197127,0.0100057536398458,0,0
"KRIT1",0.154435889532418,0.217913718914897,0.169033932721597,0.206180090095565,0.142311666150503,0.128565283508988
"RAD52",0.0247404365809328,0,0.0371941852069151,0.0524757717087952,0.0582106727642366,0.0403785061191868
"BAD",0.326242877678438,0.356343564047689,0.337417917487503,0.306192406436853,0.264996401160708,0.275267781438054
"LAP3",0.29499009123335,0.357713760274937,0.171458206291142,0.15712224809747,0.108897559860737,0.133108987464561
"HS3ST1",0.00484322146935896,0.0119430216714795,0.00582547774021772,0.0101090843914545,0,0
"AOC1",0,0,0.00048505287656541,0,0,0
"WNT16",0,0,0.00102198023846124,0,0,0
"HECW1",0.00045126797613369,0,0.000468753302830091,0,0,0
"MAD1L1",0.184402447907214,0.202197784827988,0.397043165166875,0.375912193666425,0.113950839663476,0.234927231127077
"LASP1",0.294101858608843,0.397139275384215,0.393961530968525,0.438192407987271,0.262649331396637,0.103211735819911
"SNX11",0.131242320345034,0.19094154692937,0.078979852603472,0.0199834631200422,0.0762089408335593,0.0653798880877796
"TMEM176A",0.00128213770154366,0,0.00267041094120832,0,0,0
"M6PR",0.373737258191727,0.58318714847352,0.386568425155651,0.439445008311355,0.114524952922832,0.270719629150253
"KLHL13",0.00207102411143784,0,0.00240058577221552,0.0112262113749632,0,0
"ICA1",0.0751283961407682,0.0287241315309886,0.0904986605651375,0.0117078329387464,0.0103042561591827,0.138153232969679
"DBNDD1",0.0188515701941872,0.00489108314301445,0.00994712480719479,0,0,0
"ALS2",0.0257012868584701,0.0221184483248062,0.0243971626976619,0.0101903384191948,0.0108684991535388,0
"CASP10",0.0687148942246428,0.0124153612271561,0.0760887429453265,0.040354083156028,0.0591274377711922,0.0361061697607642
"CFLAR",1.03938245430329,1.24930318137527,0.594906688451409,0.840129804890058,0.499628133720969,0.561580879194242
"TFPI",0,0,0.000479099632560581,0,0,0
"NDUFAF7",0.0919507030303981,0.077260047972867,0.125761691526673,0.144565463066101,0.0970688447397502,0.0693391851476721
"RBM5",0.40121591127184,0.406977934021932,0.504130533645893,0.672878979242336,0.319130949036236,0.540390616064673
"MTMR7",0,0.00531044768578058,0.000508764229793062,0,0,0
