"","macrophages","mast","B.naive","B.memory","plasma","T.CD4.naive","T.CD4.memory","T.CD8.naive","T.CD8.memory","NK","pDCs","mDCs","monocytes.C","monocytes.NC.I","neutrophils","Treg","endothelial.cells","fibroblasts"
"A2M",0.853573885924939,0.0438088061682608,0.00428074485699908,0.00128278882950393,0.0516385757735706,0.0394945680603048,0.239117524134957,0.0159671779597179,0.476880945921216,0.165853878816721,0.00839575165414675,0.0685096719716248,0.00612053202177134,0.01125008293039,1.75010914190941e-07,0.0945055956728341,17.6230077873209,11.0361306082825
"ABCB1",0.00213437232112814,0.0230689901979888,0.0253265699140323,0.00514773070788643,0.00033174731572925,0.0112044785811121,0.0323354194684253,0.0469969125933394,0.0652413889995728,0.169837256679795,3.39947868098261e-05,8.95550809825442e-06,3.95237856651673e-07,0.00316060213293853,0.000113018304989763,0.00739495891908004,0.211152988983606,0.00632560373636888
"ABCB4",0.00438724287246694,0,0.215723219811561,0.0689553145793917,0.000231556979505211,0.000105356162066338,9.27304560393873e-05,3.91501129617363e-06,0.000157888552204843,0.000679888447229442,0.000844996867053629,0.137802771043206,3.91394775615815e-05,0.000549497416415357,2.88259556020835e-06,6.9896282939514e-06,0.033659881201651,0.0145971796387084
"ACAP1",0.0156575516367787,0.0565320133517706,0.155682596284882,0.198870346558826,0.36984450223538,0.291177236573443,0.464851085136641,0.221827397385099,0.33125971338844,0.20117886836434,0.196013748604363,0.497990494887777,0.0813700549614422,0.033904210705466,0.0814003809813407,0.404812001627144,0.00242455437975047,0.00757321507504873
"ACER1",0.00206445107328463,0.00588530884177418,2.30932322884672e-06,0.000132536724390812,6.90620980990716e-06,0.000761521255531903,0.000517017025067629,0.00102257117502444,0.000244220039796057,0.000105430763517682,0.000138431042098868,0.00065011621708829,0.000251286138770879,0.000222336488446337,8.36339883891109e-05,0.000843766591797336,0,0
"ACP5",3.56159983489886,0.456875487306775,0.27229766132945,0.943289014381602,2.20445743675583,0.200180311544633,0.21741784673152,0.0655562015964928,0.137530584593351,0.0668020964896871,0.556320234851138,0.337939263310032,0.326719493401965,0.206039627303493,0.0177461864854844,0.351955103747889,0.0183628983325783,0.127782994840391
"ADAM12",0.0158167956828981,0.619583347473058,0.000240027092056554,7.63332770058248e-06,5.25963791460218e-06,7.50001463476819e-07,0.0012765555380584,1.09132922098653e-06,0.000362079066197722,1.54653676194608e-05,1.9770215896976e-06,0.000124372430495383,0.000819176184679615,4.36500202601149e-05,1.20351446324481e-07,0.0146599587747065,0.00706086901251195,0.516416772438963
"ADAM23",0.000328048527325161,0,0.00042436754686348,1.93740636478439e-07,1.06648625500232e-06,1.14587806351683e-05,0.00223398806162261,5.87779445619172e-07,1.06511935357868e-05,8.53708916728231e-08,1.57413752864466e-07,5.69070403564073e-07,1.82713241775241e-07,2.01735328973474e-07,7.12167407776628e-08,5.87042118267918e-05,0.040464681297227,0.0139958532111055
"ADAM28",0.0359757593216974,0.0133355142994396,0.663381231989083,0.651976427516434,0.345296907491224,7.74246940169076e-05,0.000142170180787087,1.79062472809928e-05,0.00043728990163835,0.0284335736107496,0.0377685817591545,1.53260648241362,0.0439255705496681,0.0123655538107606,0.0228699816992076,0.000864906906702859,0.0118033025956795,0.0195312121524052
"ADAM33",0.00151048174578304,0,0.000169642929104964,0.00023358002057074,0.000349860183082568,3.22392547975428e-05,0.00023045813777899,9.42468631081589e-05,0.000245430697362734,0.000286723040727128,0.00357179588312782,0.000657344219893879,1.02938715377639e-05,0.000135619250592665,5.99287074064472e-07,0.000546013422882941,0.00025823197624763,0.0395779473048347
"ADAMDEC1",0.135852769571327,0.0197750184733315,0.0489034313688595,0.0350757405729084,0.000350002248325425,0.000301921944555011,5.96868875715305e-05,3.48594712849463e-06,2.10167312897315e-05,5.22016628575947e-06,1.11981177481196e-05,0.025828344695622,0.052977867034737,0.0205318746012101,4.31921750126873e-05,0.00179741774573284,0,0.0715809188061725
"ADAMTS1",0.00177594198105041,0.00606241505198927,0.00170898280121528,0.000839333323727055,0.00102981805446395,0.00148674092721784,0.000663693809180978,0.000171300280264048,0.00160157860606329,0.0343261591145456,0.000359723062866396,0.0059804164885602,0.00196023086312413,0.00217196561140712,0.00025125449710642,0.000271311753017537,0.907215952431803,0.462529732818835
"ADAMTS10",0.00181253116470742,0.00707462207368615,1.20126597155533e-06,7.77771012305945e-06,1.12287359833917e-05,0.0133087060568073,0.00630362802816054,0.0167586052434211,0.00804603884996392,0.03365668935207,1.47886943065613e-06,0.00940292160532435,1.92483708556533e-06,2.716262139308e-05,7.6890132946811e-07,0.0134864906509184,0.0359827414695145,0.0543131282657963
